Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
541064,Nippon India Mutual Fund,NXXXVIS06G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXVI SR6 DR DVP 10MY21,Delisted,F ,10,INF204KB1VB9, ,MF,-,-,-,-
541065,Nippon India Mutual Fund,NXXXVIS06Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXVI SR6 DR GWTH 10MY21,Delisted,F ,10,INF204KB1VA1, ,MF,-,-,-,-
541066,Nippon India Mutual Fund,NXXXVIS06D,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXVI SR6 RG DVP 10MY21,Delisted,F ,10,INF204KB1UZ0, ,MF,-,-,-,-
541067,Nippon India Mutual Fund,NXXXVIS06X,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXVI SR6 RG GWTH 10MY21,Delisted,F ,10,INF204KB1UY3, ,MF,-,-,-,-
541068,Axis Mutual Fund,AXISCBD1D,Axis Capital Builder Fund - Series 1 (1540 Days) - Direct Plan  - Dividend Payout,Suspended,B ,10,INF846K01B77, ,Equity,-,-,-,-
541069,Axis Mutual Fund,AXISCBDGG,Axis Capital Builder Fund - Series 1 (1540 Days) - Direct Plan  - Growth,Suspended,B ,10,INF846K01B69, ,Equity,-,-,-,-
541070,Axis Mutual Fund,AXISCBDPD,Axis Capital Builder Fund - Series 1 (1540 Days) - Regular Plan  - Dividend Payout,Suspended,B ,10,INF846K01B93, ,Equity,-,-,-,-
541071,Axis Mutual Fund,AXISCBGPG,Axis Capital Builder Fund - Series 1 (1540 Days) - Regular Plan  - Growth,Suspended,B ,10,INF846K01B85, ,Equity,-,-,-,-
541072,Bandhan Mutual Fund,IDFTP140RG,IDFC FIXED TERM PLAN - SERIES 140 - REGULAR PLAN - GROWTH,Delisted,F ,10,INF194KA12E0, ,MF,-,-,-,-
541073,ICICI Prudential Mutual Fund,IPRU3064,ICICI Prudential FMP - Series 82 - 1185 Days Plan N - Cumulative Option,Suspended,F ,10,INF109KC1994, ,MF,-,-,-,-
541074,Bandhan Mutual Fund,IDFTP140RQ,IDFC FIXED TERM PLAN - SERIES 140 - REGULAR PLAN - QUARTERLY - DIVIDEND,Delisted,F ,10,INF194KA13E8, ,MF,-,-,-,-
541075,ICICI Prudential Mutual Fund,IPRU3065,ICICI Prudential FMP - Series 82 - 1185 Days Plan N - Quarterly Dividend Option,Suspended,F ,10,INF109KC1AB8, ,MF,-,-,-,-
541076,ICICI Prudential Mutual Fund,IPRU3066,ICICI Prudential FMP - Series 82 - 1185 Days Plan N - Half Yearly Dividend Option,Suspended,F ,10,INF109KC1AA0, ,MF,-,-,-,-
541077,Bandhan Mutual Fund,IDFTP140RH,IDFC FIXED TERM PLAN - SERIES 140 - REGULAR PLAN - HALF YEARLY - DIVIDEND,Delisted,F ,10,INF194KA14E6, ,MF,-,-,-,-
541078,ICICI Prudential Mutual Fund,IPRU9266,ICICI Prudential FMP - Series 82 - 1185 Days Plan N - Direct Plan Cumulative Option,Suspended,F ,10,INF109KC1AC6, ,MF,-,-,-,-
541079,ICICI Prudential Mutual Fund,IPRU9267,ICICI Prudential FMP - Series 82 - 1185 Days Plan N - Direct Plan Quarterly Dividend Option,Suspended,F ,10,INF109KC1AE2, ,MF,-,-,-,-
541080,ICICI Prudential Mutual Fund,IPRU9268,ICICI Prudential FMP - Series 82 - 1185 Days Plan N - Direct Plan Half Yearly Dividend,Suspended,F ,10,INF109KC1AD4, ,MF,-,-,-,-
541081,Bandhan Mutual Fund,IDFTP140RP,IDFC FIXED TERM PLAN - SERIES 140- REGULAR PLAN- PERIODIC DIVIDEND,Delisted,F ,10,INF194KA15E3, ,MF,-,-,-,-
541082,Bandhan Mutual Fund,IDFTP140DG,IDFC FIXED TERM PLAN - SERIES 140- DIRECT PLAN- GROWTH,Delisted,F ,10,INF194KA18D9, ,MF,-,-,-,-
541084,DSP Mutual Fund,DACE2RG,DSP ACE Fund Series 2 Reg Growth Mat Dt 28 Jun 2021,Delisted,B ,10,INF740KA1EK8, ,Equity,-,-,-,-
541085,DSP Mutual Fund,DACE2RDP,DSP A.C.E. Fund - Series 2 - Reg - IDCW - Reg Pay Mat Dt.28-Jun-2021,Delisted,B ,10,INF740KA1EL6, ,Equity,-,-,-,-
541086,DSP Mutual Fund,DACE2DG,DSP A.C.E. Fund - Series 2 - Dir - Growth Mat Dt.28-Jun-2021,Delisted,B ,10,INF740KA1EM4, ,Equity,-,-,-,-
541087,DSP Mutual Fund,DACE2DDP,DSP A.C.E. Fund - Series 2 - Dir - IDCW - Reg Pay Mat Dt.28-Jun-2021,Delisted,B ,10,INF740KA1EN2, ,Equity,-,-,-,-
541088,Kotak Mahindra Mutual Fund,KTKFMP219RG,Kotak FMP Series 219 - 1173 Days - Regular Plan - Growth Option,Delisted,F ,10,INF174K013U8, ,MF,-,-,-,-
541089,Kotak Mahindra Mutual Fund,KTKFMP219RD,Kotak FMP Series 219 - 1173 Days - Regular Plan - Dividend Payout  Option,Delisted,F ,10,INF174K014U6, ,MF,-,-,-,-
541090,Kotak Mahindra Mutual Fund,KTKFMP219DG,Kotak FMP Series 219 - 1173 Days - Direct Plan - Growth Option,Delisted,F ,10,INF174K015U3, ,MF,-,-,-,-
541091,Kotak Mahindra Mutual Fund,KTKFMP219DD,Kotak FMP Series 219 - 1173 Days - Direct Plan - Dividend Payout Option,Delisted,F ,10,INF174K016U1, ,MF,-,-,-,-
541092,Aditya Birla Sun Life Mutual Fund,ABSLRIF6RG,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- REGULAR PLAN- GROWTH,Suspended,B ,10,INF209KB1LL4, ,Equity,-,-,-,-
541093,Aditya Birla Sun Life Mutual Fund,ABSLRIF6RD,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- REGULAR PLAN- DIVIDEND PAYOUT,Suspended,B ,10,INF209KB1LM2, ,Equity,-,-,-,-
541094,Aditya Birla Sun Life Mutual Fund,ABSLRIF6DG,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- DIRECT PLAN- GROWTH,Suspended,B ,10,INF209KB1LN0, ,Equity,-,-,-,-
541095,Aditya Birla Sun Life Mutual Fund,ABSLRIF6DD,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- DIRECT PLAN- DIVIDEND PAYOUT,Suspended,B ,10,INF209KB1LO8, ,Equity,-,-,-,-
541097,DSP Mutual Fund,LIQUIDETF,DSP NIFTY 1D Rate Liquid ETF,Active,F ,1000,INF740KA1EU7, ,MF,-,-,-,-
541098,DSP Mutual Fund,D39MS223RG,DSP FMP - Series 223 - 39M - Reg - Growth Mat Dt 27-May-2021,Delisted,F ,10,INF740KA1FB4, ,MF,-,-,-,-
541099,DSP Mutual Fund,D39MS223RR,DSP FMP - Series 223 - 39M - Reg - IDCW - Reg Pay Mat Dt 27-May-2021,Delisted,F ,10,INF740KA1FC2, ,MF,-,-,-,-
541100,DSP Mutual Fund,D39MS223RQ,DSP FMP - Series 223 - 39M - Reg - IDCW - Qtrly Pay Mat Dt 27-May-2021,Delisted,F ,10,INF740KA1FD0, ,MF,-,-,-,-
541101,DSP Mutual Fund,D39MS223DG,DSP FMP - Series 223 - 39M - Dir - Growth Mat Dt 27-May-2021,Delisted,F ,10,INF740KA1FE8, ,MF,-,-,-,-
541102,DSP Mutual Fund,D39MS223DR,DSP FMP - Series 223 - 39M - Dir - IDCW - Reg Pay Mat Dt 27-May-2021,Delisted,F ,10,INF740KA1FF5, ,MF,-,-,-,-
541103,HDFC Mutual Fund,H1143D39DG,HDFC FMP 1143D March 2018 (1) - Series 39 - Direct Option - Growth Option,Delisted,F ,10,INF179KB1Z27, ,MF,-,-,-,-
541104,HDFC Mutual Fund,H1143D39DD,HDFC FMP 1143D March 2018 (1) - Series 39 - Direct Option - Normal Dividend Payout Option,Delisted,F ,10,INF179KB1Z35, ,MF,-,-,-,-
541105,HDFC Mutual Fund,H1143D39RG,HDFC FMP 1143D March 2018 (1) - Series 39 - Regular Option - Growth Option,Delisted,F ,10,INF179KB1Z50, ,MF,-,-,-,-
541106,HDFC Mutual Fund,H1143D39RD,HDFC FMP 1143D March 2018 (1) - Series 39 - Regular Option - Normal Dividend Payout  Option,Delisted,F ,10,INF179KB1Z68, ,MF,-,-,-,-
541107,HDFC Mutual Fund,H1143D39RQ,HDFC FMP 1143D March 2018 (1) - Series 39 - Regular Option - Quarterly Dividend Payout  Option,Delisted,F ,10,INF179KB1Z76, ,MF,-,-,-,-
541108,Bandhan Mutual Fund,IDFTP141RG,IDFC Fixed Term Plan - Series 141 - Regular Plan Growth,Delisted,F ,10,INF194KA18E7, ,MF,-,-,-,-
541109,Bandhan Mutual Fund,IDFTP141RP,IDFC Fixed Term Plan - Series 141 - Regular Plan - Periodic Dividend,Delisted,F ,10,INF194KA19E5, ,MF,-,-,-,-
541110,Bandhan Mutual Fund,IDFTP141DG,IDFC Fixed Term Plan - Series 141 - Direct Plan Growth,Delisted,F ,10,INF194KA16E1, ,MF,-,-,-,-
541111,Bandhan Mutual Fund,IDFTP141DP,IDFC Fixed Term Plan - Series 141 - Direct Plan - Periodic Dividend,Delisted,F ,10,INF194KA17E9, ,MF,-,-,-,-
541113,HDFC Mutual Fund,HF92D39DG,HDFC FMP 92D March 2018(1)- Series 39-  Direct Option - Growth Option,Delisted,F ,10,INF179KB1Z84, ,MF,-,-,-,-
541114,HDFC Mutual Fund,HF92D39DD,HDFC FMP 92D March 2018(1)- Series 39 - Direct Option - Normal Dividend Option,Delisted,F ,10,INF179KB1Z92, ,MF,-,-,-,-
541115,HDFC Mutual Fund,HF92D39RG,HDFC FMP 92D March 2018(1)- Series 39- Regular Option - Growth Option,Delisted,F ,10,INF179KB10A1, ,MF,-,-,-,-
541116,HDFC Mutual Fund,HF92D39RD,HDFC FMP 92D March 2018(1)- Series 39- Regular Option - Normal Dividend Option,Delisted,F ,10,INF179KB11A9, ,MF,-,-,-,-
541117,ICICI Prudential Mutual Fund,IPRU3067,ICICI PRUDENTIAL FIXED MATURITY PLAN - SR 82- 1175 DAYS- PLAN Q- CUMULATIVE,Suspended,F ,10,INF109KC1AP8, ,MF,-,-,-,-
541118,ICICI Prudential Mutual Fund,IPRU3068,ICICI PRUDENTIAL FIXED MATURITY PLAN - SR 82- 1175 DAYS- PLAN Q- QUARTERLY DIVIDEND,Suspended,F ,10,INF109KC1AR4, ,MF,-,-,-,-
541119,Nippon India Mutual Fund,NXXXVIS7X,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXVI SR7 RG GWTH 10MY21,Delisted,F ,10,INF204KB1VC7, ,MF,-,-,-,-
541120,ICICI Prudential Mutual Fund,IPRU3069,ICICI PRUDENTIAL FIXED MATURITY PLAN - SR 82- 1175 DAYS- PLAN Q- HALF YEARLY DIVIDEND,Suspended,F ,10,INF109KC1AQ6, ,MF,-,-,-,-
541121,ICICI Prudential Mutual Fund,IPRU9269,ICICI PRUDENTIAL FIXED MATURITY PLAN - SR 82- 1175 DAYS- PLAN Q- DIRECT PLAN CUMULATIVE,Suspended,F ,10,INF109KC1AS2, ,MF,-,-,-,-
541122,Nippon India Mutual Fund,NXXXVIS7D,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXVI SR7 RG DVP 10MY21,Delisted,F ,10,INF204KB1VD5, ,MF,-,-,-,-
541123,ICICI Prudential Mutual Fund,IPRU9270,ICICI PRUDENTIAL FIXED MATURITY PLAN - SR 82- 1175 DAYS- PLAN Q- DIRECT PLAN QUARTERLY DIVIDEND,Suspended,F ,10,INF109KC1AU8, ,MF,-,-,-,-
541124,Nippon India Mutual Fund,NXXXVIS7Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXVI SR7 DR GWTH 10MY21,Delisted,F ,10,INF204KB1VE3, ,MF,-,-,-,-
541125,ICICI Prudential Mutual Fund,IPRU9271,ICICI PRUDENTIAL FIXED MATURITY PLAN - SR 82- 1175 DAYS- PLAN Q- DIRECT PLAN HALF YEARLY DIVIDEND,Suspended,F ,10,INF109KC1AT0, ,MF,-,-,-,-
541126,Nippon India Mutual Fund,NXXXVIS7G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXVI SR7 DR DVP 10MY21,Delisted,F ,10,INF204KB1VF0, ,MF,-,-,-,-
541127,Bandhan Mutual Fund,IDFTP142RP,IDFC Fixed Term Plan - Series142 - Regular Plan - Periodic Dividend,Delisted,F ,10,INF194KA17F6, ,MF,-,-,-,-
541128,Bandhan Mutual Fund,IDFTP142DG,IDFC Fixed Term Plan - Series 142 - Direct Plan - Growth,Delisted,F ,10,INF194KA10F1, ,MF,-,-,-,-
541129,Bandhan Mutual Fund,IDFTP142DH,IDFC Fixed Term Plan - Series 142 - Direct Plan - Half Yearly Dividend,Delisted,F ,10,INF194KA12F7, ,MF,-,-,-,-
541130,Bandhan Mutual Fund,IDFTP142RG,IDFC Fixed Term Plan - Series 142 - Regular Plan - Growth,Delisted,F ,10,INF194KA14F3, ,MF,-,-,-,-
541131,Bandhan Mutual Fund,IDFTP142RQ,IDFC Fixed Term Plan - Series 142 - Regular Plan - Quarterly Dividend,Delisted,F ,10,INF194KA15F0, ,MF,-,-,-,-
541132,Bandhan Mutual Fund,IDFTP142RH,IDFC Fixed Term Plan - Series 142 - Regular Plan - Half Yearly  Dividend,Delisted,F ,10,INF194KA16F8, ,MF,-,-,-,-
541134,Nippon India Mutual Fund,NXXXVIS5Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXVI SR5 DR DVP 02NV21,Delisted,F ,10,INF204KB1UX5, ,MF,-,-,-,-
541135,Nippon India Mutual Fund,NXXXVIS5G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXVI SR5 DR GWTH 02NV21,Delisted,F ,10,INF204KB1UW7, ,MF,-,-,-,-
541136,Nippon India Mutual Fund,NXXXVIS5X,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXVI SR5 RG DVP 02NV21,Delisted,F ,10,INF204KB1UV9, ,MF,-,-,-,-
541137,Nippon India Mutual Fund,NXXXVIS5D,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXVI SR5 RG GWTH 02NV21,Delisted,F ,10,INF204KB1UU1, ,MF,-,-,-,-
541138,DSP Mutual Fund,D39MS224RG,DSP FMP - Series 224 - 39M - Reg - Growth Mat Dt 27-May-2021,Delisted,F ,10,INF740KA1FH1, ,MF,-,-,-,-
541139,DSP Mutual Fund,D39MS224RR,DSP FMP - Series 224 - 39M - Reg - IDCW - Reg Pay Mat Dt 27-May-2021,Delisted,F ,10,INF740KA1FI9, ,MF,-,-,-,-
541140,DSP Mutual Fund,D39MS224RQ,DSP FMP - Series 224 - 39M - Reg - IDCW - Qtrly Pay Mat Dt 27-May-2021,Delisted,F ,10,INF740KA1FJ7, ,MF,-,-,-,-
541141,DSP Mutual Fund,D39MS224DG,DSP FMP - Series 224 - 39M - Dir - Growth Mat Dt 27-May-2021,Delisted,F ,10,INF740KA1FK5, ,MF,-,-,-,-
541142,DSP Mutual Fund,D39MS224DQ,DSP FMP - Series 224 - 39M - Dir - IDCW - Qtrly Pay Mat Dt 27-May-2021,Delisted,F ,10,INF740KA1FM1, ,MF,-,-,-,-
541145,HDFC Mutual Fund,H1208D39DG,HDFC FMP 1208D March 2018 (1) - Series 39 - Direct Option - Growth Option,Delisted,F ,10,INF179KB1Y02, ,MF,-,-,-,-
541146,HDFC Mutual Fund,H1208D39DD,HDFC FMP 1208D March 2018 (1) - Series 39 - Direct Option - Normal Dividend Payout Option,Delisted,F ,10,INF179KB1Y10, ,MF,-,-,-,-
541147,HDFC Mutual Fund,H1208D39DQ,HDFC FMP 1208D March 2018 (1) - Series 39 - Direct Option - Quarterly Dividend Payout Option,Delisted,F ,10,INF179KB1Y28, ,MF,-,-,-,-
541148,HDFC Mutual Fund,H1208D39RG,HDFC FMP 1208D March 2018 (1) - Series 39 - Regular Option - Growth Option,Delisted,F ,10,INF179KB1Y36, ,MF,-,-,-,-
541149,HDFC Mutual Fund,H1208D39RD,HDFC FMP 1208D March 2018 (1) - Series 39 - Regular Option - Normal Dividend Payout Option,Delisted,F ,10,INF179KB1Y44, ,MF,-,-,-,-
541150,HDFC Mutual Fund,H1208D39RQ,HDFC FMP 1208D March 2018 (1) - Series 39 - Regular Option - Quarterly Dividend Payout Option,Delisted,F ,10,INF179KB1Y51, ,MF,-,-,-,-
541155,ICICI Prudential Mutual Fund,IPRU3070,ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P - Cumulative,Suspended,F ,10,INF109KC1AJ1, ,MF,-,-,-,-
541156,ICICI Prudential Mutual Fund,IPRU3071,ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P - Quarterly Dividend Payout,Suspended,F ,10,INF109KC1AL7, ,MF,-,-,-,-
541157,ICICI Prudential Mutual Fund,IPRU3072,ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P - Half Yearly Dividend Payout,Suspended,F ,10,INF109KC1AK9, ,MF,-,-,-,-
541158,ICICI Prudential Mutual Fund,IPRU9272,ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P - Direct Plan Cumulative,Suspended,F ,10,INF109KC1AM5, ,MF,-,-,-,-
541159,ICICI Prudential Mutual Fund,IPRU9273,ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P - Direct Plan Quarterly Divide,Suspended,F ,10,INF109KC1AO1, ,MF,-,-,-,-
541160,ICICI Prudential Mutual Fund,IPRU9274,ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P - Direct Plan Half Yearly,Suspended,F ,10,INF109KC1AN3, ,MF,-,-,-,-
541162,Bandhan Mutual Fund,IDFTP144RG,IDFC FIXED TERM PLAN - Series 144 - Regular Plan - Growth Option,Delisted,F ,10,INF194KA10H7, ,MF,-,-,-,-
541164,Bandhan Mutual Fund,IDFTP144RH,IDFC FIXED TERM PLAN - Series 144 - Regular Plan - Half Yearly Dividend Option,Delisted,F ,10,INF194KA12H3, ,MF,-,-,-,-
541165,Bandhan Mutual Fund,IDFTP144RP,IDFC FIXED TERM PLAN - Series 144 - Regular Plan -  Periodic Dividend Option,Delisted,F ,10,INF194KA13H1, ,MF,-,-,-,-
541166,Bandhan Mutual Fund,IDFTP144DG,IDFC FIXED TERM PLAN - Series 144 - Direct Plan - Growth Option,Delisted,F ,10,INF194KA16G6, ,MF,-,-,-,-
541168,ICICI Prudential Mutual Fund,IPRU3086,ICICI Prudential Fixed Maturity Plan  - Series 82 - 1135 Days  Plan U - Cumulative Option,Suspended,F ,10,INF109KC1BP6, ,MF,-,-,-,-
