Sc_code,Sc_name,Sc_group,Sc_type,Open,High,Low,Close,Last Trd Price,Prev close,Previous close Date,no_trades,No of Shares,Turnover,Wt. Avg. Price,2W Avg. Qty,perc_del_qty,date,Total No of Shrs,Free Float No of Shrs,52 W High,52 W Low,FACE_VALUE,Exdate,Purpose,Industry,
532719,BLKASHYAP,B ,Q,65.89,67.27,65.16,65.91,65.91,65.05,6/24/2025 00:00:00,319,18569,1230662.00,66.28,34335,45.44,6/25/2025 00:00:00,225440000,86257627.360000,120.60,42.71,1.00,,,Construction,
532720,M&MFIN,A ,Q,270.15,270.15,266.00,266.35,266.35,269.05,6/24/2025 00:00:00,1443,51614,13817410.00,267.71,69168,40.43,6/25/2025 00:00:00,1389971160,664147679.844240,342.90,242.00,2.00,,,Financial Services,
532721,VISASTEEL,T ,Q,33.64,34.95,33.45,34.49,34.49,33.64,6/24/2025 00:00:00,24,6627,225488.00,34.03,1461,100.00,6/25/2025 00:00:00,115789500,25190700.462000,47.22,19.57,10.00,,,Metals & Mining,
532722,NITCO,B ,Q,134.65,138.10,132.90,134.60,134.60,135.00,6/24/2025 00:00:00,216,4456,605228.00,135.82,17459,56.84,6/25/2025 00:00:00,228721955,38015876.140550,150.00,68.58,10.00,,,Consumer Durables,
532723,MPDL,X ,Q,46.57,50.15,46.57,50.15,50.15,49.00,6/24/2025 00:00:00,11,262,12351.00,47.14,254,99.24,6/25/2025 00:00:00,7412524,1854791.405376,92.67,35.76,10.00,,,Realty,
532725,SOLARINDS,A ,Q,17060.85,17209.55,16783.85,16994.70,16994.70,17098.55,6/24/2025 00:00:00,1603,5198,88271132.00,16981.75,5521,44.34,6/25/2025 00:00:00,90490055,24293322.125520,17290.00,8479.30,2.00,,,Chemicals,
532726,GALLANTT,B ,Q,537.60,567.65,527.50,546.25,546.25,530.65,6/24/2025 00:00:00,2708,69543,38520505.00,553.91,34278,30.75,6/25/2025 00:00:00,241280945,32404513.475390,567.65,287.20,10.00,,,Capital Goods,
532728,MALUPAPER,B ,Q,41.49,41.49,40.15,40.45,40.45,41.49,6/24/2025 00:00:00,23,1317,53973.00,40.98,2333,92.63,6/25/2025 00:00:00,17059250,5151893.500000,55.85,30.00,10.00,,,Forest Materials,
532729,UTTAMSUGAR,B ,Q,297.00,306.15,296.15,305.40,305.40,294.55,6/24/2025 00:00:00,176,2219,670202.00,302.03,3952,58.54,6/25/2025 00:00:00,38138120,9767553.913200,395.90,170.05,10.00,,,Fast Moving Consumer Goods,
532730,SGL,T ,Q,15.50,15.50,15.41,15.42,15.42,15.73,6/24/2025 00:00:00,4,178,2745.00,15.42,31254,100.00,6/25/2025 00:00:00,27452680,9090543.191800,27.27,10.33,10.00,,,Textiles,
532732,KKCL,B ,Q,494.80,505.40,489.90,498.50,498.50,497.50,6/24/2025 00:00:00,268,3902,1938419.00,496.78,3433,69.25,6/25/2025 00:00:00,61625185,15847347.699045,770.70,422.15,10.00,,,Textiles,
532733,SUNTV,A ,Q,601.50,601.50,592.75,593.60,593.60,598.30,6/24/2025 00:00:00,580,10328,6137991.00,594.31,15402,54.12,6/25/2025 00:00:00,394084620,98516031.899940,921.60,506.20,5.00,,,"Media, Entertainment & Publication",
532734,GPIL,B ,Q,182.50,186.00,182.50,185.20,185.20,181.45,6/24/2025 00:00:00,504,27235,5027176.00,184.59,68700,53.55,6/25/2025 00:00:00,669258978,243839823.821454,1222.95,145.55,1.00,,,Capital Goods,
532735,RSYSTEMS,B ,Q,443.55,451.00,435.25,449.10,449.10,443.35,6/24/2025 00:00:00,931,23702,10510172.00,443.43,21749,44.32,6/25/2025 00:00:00,118380289,32386242.704042,557.80,273.90,1.00,,,Information Technology,
532737,EMKAY,T ,Q,219.40,223.75,217.00,223.75,223.75,219.40,6/24/2025 00:00:00,10,6274,1395096.00,222.36,2517,100.00,6/25/2025 00:00:00,25482204,7012269.343332,368.15,152.60,10.00,,,Financial Services,
532738,TICL,T ,Q,25.75,26.30,25.75,26.22,26.22,26.27,6/24/2025 00:00:00,34,15932,417700.00,26.22,16739,100.00,6/25/2025 00:00:00,155000000,8784780.000000,61.20,24.50,1.00,,,Construction,
532740,LOKESHMACH,T ,Q,178.10,181.95,178.00,181.95,181.95,177.20,6/24/2025 00:00:00,34,1582,283517.00,179.21,1271,100.00,6/25/2025 00:00:00,19350332,9185892.855380,454.95,129.25,10.00,,,Capital Goods,
532741,KAMDHENU,B ,Q,31.25,31.50,29.86,31.26,31.26,29.93,6/24/2025 00:00:00,945,196032,6078507.00,31.01,209588,52.86,6/25/2025 00:00:00,281383000,139991700.479000,672.15,25.11,1.00,,,Capital Goods,
532742,PAUSHAKLTD,B ,Q,4310.05,4390.00,4310.05,4378.65,4378.65,4297.85,6/24/2025 00:00:00,211,981,4288963.00,4372.03,1228,68.71,6/25/2025 00:00:00,3082114,878183.659906,6385.00,3746.00,10.00,,,Chemicals,
532744,GTNTEX,X ,Q,9.04,9.04,8.64,8.91,8.91,8.86,6/24/2025 00:00:00,19,5573,48596.00,8.72,5299,92.82,6/25/2025 00:00:00,11640478,4062142.686226,15.30,7.70,10.00,,,Textiles,
532745,INDICAP,XT,Q,6.75,6.88,6.75,6.88,6.88,6.75,6/24/2025 00:00:00,20,8885,59976.00,6.75,6067,100.00,6/25/2025 00:00:00,23353626,15601786.860942,21.35,5.06,10.00,,,Financial Services,
532748,PFOCUS,B ,Q,113.05,115.15,112.80,113.70,113.70,113.40,6/24/2025 00:00:00,1737,54428,6166791.00,113.30,33375,65.82,6/25/2025 00:00:00,309936976,24861904.466816,164.90,85.00,1.00,,,"Media, Entertainment & Publication",
532749,ALLCARGO,A ,Q,34.95,35.62,34.50,35.42,35.42,34.65,6/24/2025 00:00:00,1040,368647,12966492.00,35.17,538548,24.53,6/25/2025 00:00:00,982782096,359589158.323344,74.36,26.01,2.00,,,Services,
532754,GMRAIRPORT,A ,Q,83.65,83.80,82.97,83.55,83.55,83.19,6/24/2025 00:00:00,1419,198303,16544130.00,83.43,379558,45.05,6/25/2025 00:00:00,10558975952,3558174275.280912,103.70,67.75,1.00,,,Services,
532755,TECHM,A ,Q,1685.20,1714.35,1676.70,1704.35,1704.35,1676.70,6/24/2025 00:00:00,954,10672,18139698.00,1699.75,35419,34.96,6/25/2025 00:00:00,979144558,632729088.246948,1807.40,1209.70,5.00,,,Information Technology,
532756,CIEINDIA,A ,Q,448.75,454.00,446.80,449.80,449.80,448.45,6/24/2025 00:00:00,421,6690,3014210.00,450.55,8891,41.90,6/25/2025 00:00:00,379362377,126881919.973797,628.45,361.25,10.00,,,Automobile and Auto Components,
532757,VOLTAMP,A ,Q,8551.05,8835.70,8551.05,8801.65,8801.65,8602.95,6/24/2025 00:00:00,352,983,8599589.00,8748.31,2158,37.23,6/25/2025 00:00:00,10117120,6263873.208320,14800.00,5900.00,10.00,,,Capital Goods,
532759,ATLANTAA,B ,Q,33.46,34.95,33.46,34.87,34.87,34.00,6/24/2025 00:00:00,29,1191,41143.00,34.54,3784,76.74,6/25/2025 00:00:00,81500000,20559597.500000,65.54,27.50,2.00,,,Services,
532761,HOVS,T ,Q,54.60,57.00,54.15,54.69,54.69,55.50,6/24/2025 00:00:00,16,597,32675.00,54.73,1865,100.00,6/25/2025 00:00:00,12594972,6173765.590044,110.80,41.51,10.00,,,Information Technology,
532762,ACE,A ,Q,1219.80,1233.00,1207.85,1215.50,1215.50,1203.25,6/24/2025 00:00:00,646,10274,12524322.00,1219.03,16546,50.28,6/25/2025 00:00:00,119083196,41040118.170264,1601.00,917.10,2.00,,,Capital Goods,
532764,GEECEE,B ,Q,388.80,388.80,383.00,386.85,386.85,381.55,6/24/2025 00:00:00,21,159,61097.00,384.26,168,72.33,6/25/2025 00:00:00,20911729,6739432.022120,476.65,320.00,10.00,,,Realty,
532766,RICHAIND,Z ,Q,1.62,1.70,1.54,1.69,1.69,1.62,6/24/2025 00:00:00,21,2192,3406.00,1.55,4509,100.00,6/25/2025 00:00:00,23430000,9507519.120000,2.45,1.28,10.00,,,Construction,
532767,GAYAPROJ,Z ,Q,8.68,8.68,8.60,8.60,8.60,8.60,6/24/2025 00:00:00,8,9311,80074.00,8.60,154496,100.00,6/25/2025 00:00:00,187198685,179797410.591155,11.40,5.45,2.00,,,Construction,
532768,FIEMIND,B ,Q,1840.55,1899.95,1840.55,1872.00,1872.00,1843.65,6/24/2025 00:00:00,679,3921,7371666.00,1880.05,3662,59.65,6/25/2025 00:00:00,26319660,10799509.210860,1970.35,1156.00,10.00,,,Automobile and Auto Components,
532771,JHS,B ,Q,12.97,13.56,12.97,13.07,13.07,13.11,6/24/2025 00:00:00,41,4928,65334.00,13.26,22251,63.33,6/25/2025 00:00:00,85603966,48518102.225684,32.90,11.12,10.00,,,Fast Moving Consumer Goods,
532772,DCBBANK,A ,Q,143.00,143.90,141.70,143.05,143.05,142.00,6/24/2025 00:00:00,461,34418,4904230.00,142.49,51429,63.62,6/25/2025 00:00:00,314470217,264376998.253202,150.70,101.35,10.00,,,Financial Services,
532773,GLOBALVECT,B ,Q,215.10,258.05,215.10,258.05,258.05,215.05,6/24/2025 00:00:00,596,30153,7572327.00,251.13,6009,57.47,6/25/2025 00:00:00,14000000,3500000.000000,346.15,197.80,10.00,,,Services,
532774,INSPIRISYS,B ,Q,97.75,101.90,97.75,100.05,100.05,101.30,6/24/2025 00:00:00,8,370,36771.00,99.38,2033,100.00,6/25/2025 00:00:00,39616873,11856616.985186,192.60,67.00,10.00,,,Information Technology,
532775,GTLINFRA,A ,Q,1.74,1.99,1.73,1.88,1.88,1.72,6/24/2025 00:00:00,13321,49445495,92489796.00,1.87,42413528,43.20,6/25/2025 00:00:00,12810706903,12388466003.477120,4.35,1.22,10.00,,,Telecommunication,
