SYMBOL_CODE,COMPANY_NAME,SYMBOL_NAME,IndexName,SECTOR_NAME,INDUSTRY,INSTRUMENT
505010,AUTOMOTIVE AXLES LTD.,AUTOAXLES,BSE SmallCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
505160,TALBROS AUTOMOTIVE COMPONENTS,TALBROAUTO,BSE SmallCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
505192,SML ISUZU LIMITED,SMLISUZU,BSE SmallCapindex,Industrials,Capital Goods,Equity
505200,EICHER MOTORS LTD.,EICHERMOT,BSE SENSEX SIXTYindex,Consumer Discretionary,Automobile and Auto Components,Equity
505242,DYNAMATIC TECHNOLOGIES LTD.,DYNAMATECH,BSE SmallCapindex,Industrials,Capital Goods,Equity
505255,GMM PFAUDLER LTD.,GMMPFAUDLR,BSE SmallCapindex,Industrials,Capital Goods,Equity
505283,KIRLOSKAR PNEUMATIC CO.LTD.,KIRLPNU,BSE SmallCapindex,Industrials,Capital Goods,Equity
505355,NESCO LTD.,NESCO,BSE SmallCapindex,Services,Services,Equity
505400,TEXMACO INFRASTRUCTURE & HOLDI,TEXINFRA,BSE SmallCapindex,Services,Services,Equity
505412,WENDT (INDIA) LTD.,WENDT,BSE SmallCapindex,Industrials,Capital Goods,Equity
505509,RESPONSIVE INDUSTRIES LTD.,RESPONIND,BSE SmallCapindex,Consumer Discretionary,Consumer Durables,Equity
505526,DOLAT ALGOTECH LIMITED,DOLATALGO,BSE SmallCapindex,Financial Services,Financial Services,Equity
505533,WESTLIFE FOODWORLD LIMITED,WESTLIFE,BSE SmallCapindex,Consumer Discretionary,Consumer Services,Equity
505537,ZEE ENTERTAINMENT ENTERPRISES,ZEEL,BSE MidCapindex,Consumer Discretionary,"Media, Entertainment & Publication",Equity
505710,GRAUER & WEIL (INDIA) LTD.,GRAUWEIL,BSE SmallCapindex,Commodities,Chemicals,Equity
505714,GABRIEL INDIA LTD.,GABRIEL,BSE SmallCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
505726,IFB INDUSTRIES LTD.,IFBIND,BSE SmallCapindex,Consumer Discretionary,Consumer Durables,Equity
505744,FEDERAL-MOGUL GOETZE (INDIA) L,FMGOETZE,BSE SmallCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
505790,Schaeffler India Limited,SCHAEFFLER,BSE MidCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
505800,RANE HOLDINGS LTD.,RANEHOLDIN,BSE SmallCapindex,Financial Services,Financial Services,Equity
505872,WPIL LTD.,WPIL,BSE SmallCapindex,Industrials,Capital Goods,Equity
505890,KENNAMETAL INDIA LTD.,KENNAMET,BSE SmallCapindex,Industrials,Capital Goods,Equity
506022,PRAKASH INDUSTRIES LTD.,PRAKASH,BSE SmallCapindex,Commodities,Metals & Mining,Equity
506076,GRINDWELL NORTON LTD.,GRINDWELL,BSE SmallCapindex,Industrials,Capital Goods,Equity
506109,GENESYS INTERNATIONAL CORPORAT,GENESYS,BSE SmallCapindex,Information Technology,Information Technology,Equity
